Date,Dollar
2013-07-04,83.23
2013-07-05,84.44
2013-07-08,84.19
2013-07-09,84.58
2013-07-10,84.04
2013-07-11,82.75
2013-07-12,82.99
2013-07-15,83.04
2013-07-16,82.5
2013-07-17,82.71
2013-07-18,82.82
2013-07-19,82.62
2013-07-22,82.22
2013-07-23,81.94
2013-07-24,82.29
2013-07-25,81.97
2013-07-26,81.66
2013-07-29,81.66
2013-07-30,81.83
2013-07-31,81.45
2013-08-01,82.34
2013-08-02,81.91
2013-08-05,81.88
2013-08-06,81.6
2013-08-07,81.29
2013-08-08,80.98
2013-08-09,81.13
2013-08-12,81.33
2013-08-13,81.77
2013-08-14,81.71
2013-08-15,81.18
2013-08-16,81.26
2013-08-19,81.23
2013-08-20,80.91
2013-08-21,81.21
2013-08-22,81.49
2013-08-23,81.36
2013-08-26,81.41
2013-08-27,81.17
2013-08-28,81.43
2013-08-29,81.95
2013-08-30,82.09
2013-09-02,82.09
2013-09-03,82.36
2013-09-04,82.17
2013-09-05,82.63
2013-09-06,82.15
2013-09-09,81.79
2013-09-10,81.82
2013-09-11,81.52
2013-09-12,81.49
2013-09-13,81.45
2013-09-16,81.3
2013-09-17,81.14
2013-09-18,80.24
2013-09-19,80.37
2013-09-20,80.43
2013-09-23,80.45
2013-09-24,80.56
2013-09-25,80.33
2013-09-26,80.52
2013-09-27,80.29
2013-09-30,80.22
2013-10-01,80.14
2013-10-02,79.9
2013-10-03,79.75
2013-10-04,80.13
2013-10-07,79.94
2013-10-08,80.06
2013-10-09,80.38
2013-10-10,80.42
2013-10-11,80.41
2013-10-14,80.26
2013-10-15,80.48
2013-10-16,80.47
2013-10-17,79.65
2013-10-18,79.65
2013-10-21,79.69
2013-10-22,79.23
2013-10-23,79.26
2013-10-24,79.19
2013-10-25,79.19
2013-10-28,79.25
2013-10-29,79.61
2013-10-30,79.78
2013-10-31,80.19
2013-11-01,80.72
2013-11-04,80.55
2013-11-05,80.71
2013-11-06,80.48
2013-11-07,80.84
2013-11-08,81.3
2013-11-11,81.09
2013-11-12,81.19
2013-11-13,80.93
2013-11-14,81.02
2013-11-15,80.85
2013-11-18,80.83
2013-11-19,80.7
2013-11-20,81.11
2013-11-21,81.07
2013-11-22,80.71
2013-11-25,80.92
2013-11-26,80.61
2013-11-27,80.72
2013-11-28,80.72
2013-11-29,80.68
2013-12-02,80.92
2013-12-03,80.92
2013-12-04,80.62
2013-12-05,80.23
2013-12-06,80.31
2013-12-09,80.13
2013-12-10,79.97
2013-12-11,79.89
2013-12-12,80.21
2013-12-13,80.21
2013-12-16,80.07
2013-12-17,80.06
2013-12-18,80.11
2013-12-19,80.63
2013-12-20,80.58
2013-12-23,80.45
2013-12-24,80.45
2013-12-25,80.45
2013-12-26,80.48
2013-12-27,80.39
2013-12-30,80.0
2013-12-31,80.03
2014-01-01,80.03
2014-01-02,80.63
2014-01-03,80.79
2014-01-06,80.65
2014-01-07,80.83
2014-01-08,81.02
2014-01-09,81.0
2014-01-10,80.66
2014-01-13,80.51
2014-01-14,80.66
2014-01-15,81.03
2014-01-16,80.91
2014-01-17,81.22
2014-01-20,81.22
2014-01-21,81.1
2014-01-22,81.17
2014-01-23,80.44
2014-01-24,80.46
2014-01-27,80.52
2014-01-28,80.57
2014-01-29,80.5
2014-01-30,81.08
2014-01-31,81.31
2014-02-03,81.01
2014-02-04,81.12
2014-02-05,81.04
2014-02-06,80.91
2014-02-07,80.69
2014-02-10,80.64
