Date,Open,High,Low,Close
2018-08-30,517.5,525.0,502.5,508.0
2018-08-31,509.5,522.25,509.5,518.5
2018-09-03,537.75,539.0,537.75,538.75
2018-09-04,507.25,507.25,491.75,502.75
2018-09-05,501.0,507.5,495.0,493.75
2018-09-06,490.0,492.25,487.75,486.0
2018-09-07,487.0,487.25,487.0,486.25
2018-09-10,488.0,498.5,488.0,504.0
2018-09-11,497.25,497.25,497.25,493.75
2018-09-12,500.5,503.5,478.0,481.75
2018-09-13,473.0,473.0,473.0,471.75
2018-09-14,478.5,479.75,478.5,480.0
2018-09-17,513.5,517.75,505.5,506.25
2018-09-18,506.25,514.25,506.25,510.5
2018-09-19,511.0,523.25,510.5,522.5
2018-09-20,523.0,525.75,516.0,524.0
2018-09-21,521.0,524.25,515.0,521.75
2018-09-24,522.0,531.25,520.0,527.0
2018-09-25,525.25,525.75,516.25,520.75
2018-09-26,521.25,527.0,516.75,517.5
2018-09-27,517.75,522.0,511.25,513.0
2018-09-28,513.0,518.0,505.5,509.0
2018-10-01,510.0,515.25,505.5,509.5
2018-10-02,510.5,524.75,505.25,519.25
2018-10-03,521.25,527.25,514.25,515.25
2018-10-04,515.75,520.75,513.75,518.0
2018-10-05,518.0,524.5,517.25,521.0
2018-10-08,524.0,525.5,512.75,514.0
2018-10-09,513.5,520.5,511.25,515.0
2018-10-10,516.75,518.0,510.25,510.5
2018-10-11,510.75,521.0,506.5,508.0
2018-10-12,507.75,519.0,507.25,517.25
2018-10-15,518.5,526.0,514.75,525.0
2018-10-16,525.75,527.0,521.0,523.5
2018-10-17,524.0,524.5,516.0,517.5
2018-10-18,516.0,519.5,511.0,513.0
2018-10-19,513.0,518.5,510.75,514.75
2018-10-22,514.0,514.25,507.25,508.0
2018-10-23,508.0,511.25,505.25,509.0
2018-10-24,510.0,510.75,496.75,499.5
2018-10-25,499.75,499.75,485.5,487.25
2018-10-26,487.25,506.75,486.75,505.25
2018-10-29,510.25,515.0,502.75,507.25
2018-10-30,505.5,507.5,497.0,499.75
