,Date,Open,High,Low,Close,Volume,Currency,month,year,month_name
677,2014-06-18,581.63,597.88,581.63,586.25,0,USD,6,2014,June
678,2014-06-19,586.25,595.88,585.88,593.88,0,USD,6,2014,June
679,2014-06-20,592.88,594.63,582.88,584.88,0,USD,6,2014,June
680,2014-06-23,594.63,600.88,587.38,589.13,0,USD,6,2014,June
681,2014-06-24,589.25,589.25,579.38,580.0,0,USD,6,2014,June
682,2014-06-25,580.13,584.63,577.13,584.13,0,USD,6,2014,June
683,2014-06-26,584.38,589.88,579.88,584.38,0,USD,6,2014,June
684,2014-06-27,584.63,597.38,583.88,592.88,0,USD,6,2014,June
685,2014-06-30,591.63,592.38,568.75,576.75,0,USD,6,2014,June
686,2014-07-01,578.63,580.88,569.38,573.13,0,USD,7,2014,July
687,2014-07-02,573.88,576.63,568.88,576.63,0,USD,7,2014,July
688,2014-07-03,576.38,580.63,572.13,579.5,0,USD,7,2014,July
689,2014-07-06,579.5,579.5,579.5,579.5,0,USD,7,2014,July
690,2014-07-07,579.5,584.25,556.13,558.25,0,USD,7,2014,July
691,2014-07-08,557.75,560.88,555.63,555.88,0,USD,7,2014,July
692,2014-07-09,556.13,558.0,547.75,551.25,0,USD,7,2014,July
693,2014-07-10,551.88,555.88,546.38,548.63,0,USD,7,2014,July
694,2014-07-11,536.75,536.75,518.25,514.75,107,USD,7,2014,July
695,2014-07-14,516.25,546.5,516.25,549.75,120,USD,7,2014,July
696,2014-07-15,538.0,539.5,530.5,537.75,37907,USD,7,2014,July
697,2014-07-16,537.0,544.75,535.75,538.0,32658,USD,7,2014,July
698,2014-07-17,538.0,561.75,530.75,550.75,88501,USD,7,2014,July
699,2014-07-18,552.5,555.75,531.0,532.25,52234,USD,7,2014,July
700,2014-07-21,530.5,531.25,523.75,530.0,36058,USD,7,2014,July
701,2014-07-22,529.5,536.75,524.0,524.5,35671,USD,7,2014,July
702,2014-07-23,524.5,531.0,520.25,530.75,33126,USD,7,2014,July
703,2014-07-24,530.5,542.25,526.0,528.75,56461,USD,7,2014,July
704,2014-07-25,528.75,538.5,526.5,538.0,42238,USD,7,2014,July
705,2014-07-28,538.0,543.25,532.0,534.75,33877,USD,7,2014,July
706,2014-07-29,534.5,535.75,518.5,520.0,52042,USD,7,2014,July
707,2014-07-30,521.25,529.0,519.75,527.25,51667,USD,7,2014,July
708,2014-07-31,527.0,536.25,523.5,530.25,59662,USD,7,2014,July
709,2014-08-01,531.0,544.0,530.5,534.25,60735,USD,8,2014,August
710,2014-08-04,534.75,553.25,534.25,544.0,55273,USD,8,2014,August
711,2014-08-05,543.75,554.25,538.0,552.5,51203,USD,8,2014,August
712,2014-08-06,553.0,572.0,552.75,568.0,83170,USD,8,2014,August
713,2014-08-07,568.0,568.25,558.5,561.5,80800,USD,8,2014,August
714,2014-08-08,561.0,561.5,546.0,549.25,74816,USD,8,2014,August
715,2014-08-11,548.5,556.5,543.0,546.5,97475,USD,8,2014,August
716,2014-08-12,547.25,547.5,533.5,538.0,96506,USD,8,2014,August
717,2014-08-13,537.75,544.25,527.25,528.0,65016,USD,8,2014,August
718,2014-08-14,528.25,539.25,528.0,537.25,44359,USD,8,2014,August
719,2014-08-15,535.25,556.25,533.5,551.25,57396,USD,8,2014,August
720,2014-08-18,549.75,551.5,540.5,542.5,27716,USD,8,2014,August
721,2014-08-19,541.0,556.0,535.5,546.0,40685,USD,8,2014,August
722,2014-08-20,546.25,549.25,534.25,539.5,36712,USD,8,2014,August
723,2014-08-21,539.5,549.75,536.75,546.25,29137,USD,8,2014,August
724,2014-08-22,546.0,562.5,545.5,552.0,44928,USD,8,2014,August
725,2014-08-25,551.0,554.25,540.5,542.5,14286,USD,8,2014,August
726,2014-08-26,542.25,546.0,531.25,541.5,15901,USD,8,2014,August
727,2014-08-27,540.0,548.0,535.0,547.25,14287,USD,8,2014,August
728,2014-08-28,547.0,564.5,545.0,556.5,18397,USD,8,2014,August
729,2014-08-29,555.0,562.25,546.0,550.25,3477,USD,8,2014,August
730,2014-09-02,550.25,553.0,538.75,543.5,1409,USD,9,2014,September
731,2014-09-03,540.75,540.75,522.5,523.5,1964,USD,9,2014,September
732,2014-09-04,522.0,525.0,519.5,525.25,2109,USD,9,2014,September
733,2014-09-05,525.5,536.25,525.5,531.5,1101,USD,9,2014,September
734,2014-09-08,528.75,538.0,526.25,533.5,466,USD,9,2014,September
735,2014-09-09,528.5,528.5,523.5,527.5,69,USD,9,2014,September
736,2014-09-10,524.5,525.25,520.25,518.75,135,USD,9,2014,September
737,2014-09-11,518.0,519.0,499.5,503.0,181,USD,9,2014,September
738,2014-09-12,498.75,498.75,497.0,498.25,11,USD,9,2014,September
739,2014-09-15,501.5,504.0,496.0,500.75,39682,USD,9,2014,September
740,2014-09-16,499.0,508.5,491.0,496.25,48769,USD,9,2014,September
741,2014-09-17,496.0,501.5,494.25,499.25,33011,USD,9,2014,September
742,2014-09-18,496.25,498.75,487.75,488.5,33252,USD,9,2014,September
743,2014-09-19,487.75,488.25,473.75,474.5,45467,USD,9,2014,September
744,2014-09-22,476.25,480.75,469.5,476.75,61856,USD,9,2014,September
745,2014-09-23,475.5,479.75,471.0,476.0,48151,USD,9,2014,September
746,2014-09-24,473.5,484.5,473.5,480.25,54643,USD,9,2014,September
747,2014-09-25,480.25,483.5,466.25,474.0,51821,USD,9,2014,September
748,2014-09-26,472.75,476.25,468.5,474.25,27218,USD,9,2014,September
749,2014-09-29,470.75,482.5,470.5,481.25,41810,USD,9,2014,September
750,2014-09-30,481.25,481.75,468.0,477.75,61656,USD,9,2014,September
751,2014-10-01,476.75,484.0,469.5,479.0,45542,USD,10,2014,October
752,2014-10-02,477.5,489.75,477.25,482.75,48696,USD,10,2014,October
753,2014-10-03,483.25,489.0,478.0,485.75,44411,USD,10,2014,October
754,2014-10-06,485.5,494.75,484.75,491.5,40143,USD,10,2014,October
